origin_id,destination_id,train_plan_train_number,train_plan_train_name,train_plan_duration,train_plan_cost,train_plan_origin_station,train_plan_destination_station,origin_type,destination_type
B0FFLHQPEP,B017B011IO,101007260324,G518(广州白云-西安北),368.0,754.0,广州白云,洛阳龙门,火车站,火车站
B00140VAP3,B017B02U7H,101013100081,G846(深圳北-西安北),462.0,763.5,广州南,洛阳龙门,火车站,火车站
B00140VAP3,B017B011IO,101013100081,G846(深圳北-西安北),462.0,763.5,广州南,洛阳龙门,火车站,火车站
B00140TY64,B017B02U7H,101007260324,G518(广州白云-西安北),368.0,754.0,广州白云,洛阳龙门,火车站,火车站
B00140TY64,B017B011IO,101007260324,G518(广州白云-西安北),368.0,754.0,广州白云,洛阳龙门,火车站,火车站
B00140UERW,B017B02U7H,101013099982,G839(广州南-西安北),475.0,682.0,广州北,洛阳龙门,火车站,火车站
B00140UERW,B017B011IO,101013099982,G839(广州南-西安北),475.0,682.0,广州北,洛阳龙门,火车站,火车站
B00140WEW0,B017B02U7H,101007260324,G518(广州白云-西安北),368.0,754.0,广州白云,洛阳龙门,火车站,火车站
B00140WEW0,B017B011IO,101007260324,G518(广州白云-西安北),368.0,754.0,广州白云,洛阳龙门,火车站,火车站
B0FFLHQPEP,B0H6XMWL0S,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B0FFLHQPEP,B000A83M61,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B0FFLHQPEP,B000A9S5OF,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B0FFLHQPEP,B000A83AJN,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B0FFLHQPEP,B000A83C36,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B0FFLHQPEP,B000A833V8,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140VAP3,B0H6XMWL0S,101001615815,D924(珠海-北京西),615.0,709.0,广州南,北京西,火车站,火车站
B00140VAP3,B000A83M61,101001615815,D924(珠海-北京西),615.0,709.0,广州南,北京西,火车站,火车站
B00140VAP3,B000A9S5OF,101001615815,D924(珠海-北京西),615.0,709.0,广州南,北京西,火车站,火车站
B00140VAP3,B000A83AJN,101001615815,D924(珠海-北京西),615.0,709.0,广州南,北京西,火车站,火车站
B00140VAP3,B000A83C36,101001615815,D924(珠海-北京西),615.0,709.0,广州南,北京西,火车站,火车站
B00140VAP3,B000A833V8,101001615815,D924(珠海-北京西),615.0,709.0,广州南,北京西,火车站,火车站
B00140TY64,B0H6XMWL0S,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140TY64,B000A83M61,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140TY64,B000A9S5OF,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140TY64,B000A83AJN,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140TY64,B000A83C36,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140TY64,B000A833V8,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140UERW,B0H6XMWL0S,101013162896,D904(深圳北-北京西),614.0,694.5,广州北,北京西,火车站,火车站
B00140UERW,B000A83M61,101013162896,D904(深圳北-北京西),614.0,694.5,广州北,北京西,火车站,火车站
B00140UERW,B000A9S5OF,101013162896,D904(深圳北-北京西),614.0,694.5,广州北,北京西,火车站,火车站
B00140UERW,B000A83AJN,101013162896,D904(深圳北-北京西),614.0,694.5,广州北,北京西,火车站,火车站
B00140UERW,B000A83C36,101013162896,D904(深圳北-北京西),614.0,694.5,广州北,北京西,火车站,火车站
B00140UERW,B000A833V8,101013162896,D904(深圳北-北京西),614.0,694.5,广州北,北京西,火车站,火车站
B00140WEW0,B0H6XMWL0S,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140WEW0,B000A83M61,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140WEW0,B000A9S5OF,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140WEW0,B000A83AJN,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140WEW0,B000A83C36,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B00140WEW0,B000A833V8,101013162896,D904(深圳北-北京西),639.0,703.0,广州,北京西,火车站,火车站
B0FFLHQPEP,B0200172JB,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B0FFLHQPEP,B020015V08,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B0FFLHQPEP,B0G1RA0HZI,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B0FFLHQPEP,B02000K28P,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140VAP3,B0200172JB,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140VAP3,B020015V08,101013099653,G1746(广州南-太仓),558.0,757.0,广州南,张家港,火车站,火车站
B00140VAP3,B0G1RA0HZI,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140VAP3,B02000K28P,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140TY64,B0200172JB,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140TY64,B020015V08,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140TY64,B0G1RA0HZI,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140TY64,B02000K28P,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140UERW,B0200172JB,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140UERW,B020015V08,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140UERW,B0G1RA0HZI,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140UERW,B02000K28P,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140WEW0,B0200172JB,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140WEW0,B020015V08,101010466113,G3078(广州东-上海虹桥),455.0,800.0,广州东,盛泽,火车站,火车站
B00140WEW0,B0G1RA0HZI,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B00140WEW0,B02000K28P,101014286457,G1306(广州东-上海南),442.0,841.0,广州东,苏州南,火车站,火车站
B0FFLHQPEP,B001B0IZUF,101007493408,G796(广州白云-济南东),212.0,454.0,广州白云,武汉,火车站,火车站
B0FFLHQPEP,B0G10CFS2G,101007493408,G796(广州白云-济南东),212.0,454.0,广州白云,武汉,火车站,火车站
B00140VAP3,B001B0IZUF,101014680884,D922(湛江西-北京西),263.0,330.0,广州南,武汉,火车站,火车站
B00140VAP3,B0G10CFS2G,101014680884,D922(湛江西-北京西),263.0,330.0,广州南,武汉,火车站,火车站
B00140TY64,B001B0IZUF,101014680859,D904(深圳北-北京西),278.0,323.5,广州,武汉,火车站,火车站
B00140TY64,B0G10CFS2G,101014680859,D904(深圳北-北京西),278.0,323.5,广州,武汉,火车站,火车站
B00140UERW,B001B0IZUF,101014680859,D904(深圳北-北京西),253.0,315.5,广州北,武汉,火车站,火车站
B00140UERW,B0G10CFS2G,101014680859,D904(深圳北-北京西),253.0,315.5,广州北,武汉,火车站,火车站
B00140WEW0,B001B0IZUF,101014680859,D904(深圳北-北京西),278.0,323.5,广州,武汉,火车站,火车站
B00140WEW0,B0G10CFS2G,101014680859,D904(深圳北-北京西),278.0,323.5,广州,武汉,火车站,火车站
B0FFLHQPEP,B025004DVF,101009028977,D943(珠海-上海虹桥),214.0,229.0,广州南,厦门北,火车站,火车站
B0FFLHQPEP,B0250043J1,101013105871,D2381(广州东-厦门),284.0,313.0,广州东,厦门,火车站,火车站
B00140VAP3,B025004DVF,101009028977,D943(珠海-上海虹桥),214.0,229.0,广州南,厦门北,火车站,火车站
B00140VAP3,B0250043J1,101009028977,D943(珠海-上海虹桥),214.0,229.0,广州南,厦门北,火车站,火车站
B00140TY64,B025004DVF,101010226623,G3044(广州东-福州南),198.0,339.0,广州东,厦门北,火车站,火车站
B00140TY64,B0250043J1,101013105871,D2381(广州东-厦门),284.0,313.0,广州东,厦门,火车站,火车站
B00140UERW,B025004DVF,101009028977,D943(珠海-上海虹桥),214.0,229.0,广州南,厦门北,火车站,火车站
B00140UERW,B0250043J1,101013105871,D2381(广州东-厦门),284.0,313.0,广州东,厦门,火车站,火车站
B00140WEW0,B025004DVF,101009028977,D943(珠海-上海虹桥),214.0,229.0,广州南,厦门北,火车站,火车站
B00140WEW0,B0250043J1,101013105871,D2381(广州东-厦门),284.0,313.0,广州东,厦门,火车站,火车站
B0FFLHQPEP,B001C80DL2,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B0FFLHQPEP,B001C953EF,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B0FFLHQPEP,B001C8WIJI,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140VAP3,B001C80DL2,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140VAP3,B001C953EF,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140VAP3,B001C8WIJI,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140TY64,B001C80DL2,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140TY64,B001C953EF,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140TY64,B001C8WIJI,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140UERW,B001C80DL2,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140UERW,B001C953EF,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140UERW,B001C8WIJI,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140WEW0,B001C80DL2,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140WEW0,B001C953EF,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B00140WEW0,B001C8WIJI,101013097708,G3704(广州南-成都东),422.0,623.0,广州南,成都东,火车站,火车站
B0FFLHQPEP,B03830MO5H,101013227084,Z8006(深圳东-三亚),967.0,389.5,广州白云,三亚,火车站,火车站
B00140VAP3,B03830MO5H,101013227084,Z8006(深圳东-三亚),984.0,421.5,广州,三亚,火车站,火车站
B00140TY64,B03830MO5H,101013227084,Z8006(深圳东-三亚),984.0,421.5,广州,三亚,火车站,火车站
B00140UERW,B03830MO5H,101013227084,Z8006(深圳东-三亚),967.0,389.5,广州白云,三亚,火车站,火车站
B00140WEW0,B03830MO5H,101013227084,Z8006(深圳东-三亚),984.0,421.5,广州,三亚,火车站,火车站
B0FFLHQPEP,B00190YPLY,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B0FFLHQPEP,B001905HYA,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140VAP3,B00190YPLY,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140VAP3,B001905HYA,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140TY64,B00190YPLY,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140TY64,B001905HYA,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140UERW,B00190YPLY,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140UERW,B001905HYA,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140WEW0,B00190YPLY,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B00140WEW0,B001905HYA,101013099653,G1746(广州南-太仓),475.0,660.0,广州南,南京南,火车站,火车站
B0FFLHQPEP,B0FFKDI9UX,101010466113,G3078(广州东-上海虹桥),416.0,741.0,广州东,杭州西,火车站,火车站
B0FFLHQPEP,B023B08WDR,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B0FFLHQPEP,B023B07ERI,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B0FFLHQPEP,B0FFFYUWRA,101013105754,Z100(广州白云-上海),867.0,189.5,广州白云,杭州南,火车站,火车站
B00140VAP3,B0FFKDI9UX,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B00140VAP3,B023B08WDR,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B00140VAP3,B023B07ERI,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B00140VAP3,B0FFFYUWRA,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B00140TY64,B0FFKDI9UX,101010466113,G3078(广州东-上海虹桥),416.0,741.0,广州东,杭州西,火车站,火车站
B00140TY64,B023B08WDR,101013100013,G800(广州东-上海虹桥),384.0,814.0,广州东,杭州东,火车站,火车站
B00140TY64,B023B07ERI,101013100013,G800(广州东-上海虹桥),384.0,814.0,广州东,杭州东,火车站,火车站
B00140TY64,B0FFFYUWRA,101013100013,G800(广州东-上海虹桥),384.0,814.0,广州东,杭州东,火车站,火车站
B00140UERW,B0FFKDI9UX,101010466113,G3078(广州东-上海虹桥),416.0,741.0,广州东,杭州西,火车站,火车站
B00140UERW,B023B08WDR,101013100013,G800(广州东-上海虹桥),384.0,814.0,广州东,杭州东,火车站,火车站
B00140UERW,B023B07ERI,101013100013,G800(广州东-上海虹桥),384.0,814.0,广州东,杭州东,火车站,火车站
B00140UERW,B0FFFYUWRA,101013100013,G800(广州东-上海虹桥),384.0,814.0,广州东,杭州东,火车站,火车站
B00140WEW0,B0FFKDI9UX,101010466113,G3078(广州东-上海虹桥),416.0,741.0,广州东,杭州西,火车站,火车站
B00140WEW0,B023B08WDR,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B00140WEW0,B023B07ERI,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B00140WEW0,B0FFFYUWRA,101013099159,G1404(广州南-杭州东),441.0,678.0,广州南,杭州东,火车站,火车站
B0FFLHQPEP,B0FFFR0KU5,101007268989,G2922(深圳北-昆明南),238.0,326.0,广州南,贵阳北,火车站,火车站
B0FFLHQPEP,B0FFFGNW0R,101013105747,G1936(广州南-重庆西),231.0,342.0,广州南,贵阳东,火车站,火车站
B0FFLHQPEP,B035301F2G,101013085356,G3708(广州南-成都东),232.0,360.0,广州南,贵阳,火车站,火车站
B00140VAP3,B0FFFR0KU5,101007268989,G2922(深圳北-昆明南),238.0,326.0,广州南,贵阳北,火车站,火车站
B00140VAP3,B0FFFGNW0R,101013105747,G1936(广州南-重庆西),231.0,342.0,广州南,贵阳东,火车站,火车站
B00140VAP3,B035301F2G,101013085356,G3708(广州南-成都东),232.0,360.0,广州南,贵阳,火车站,火车站
B00140TY64,B0FFFR0KU5,101007268989,G2922(深圳北-昆明南),238.0,326.0,广州南,贵阳北,火车站,火车站
B00140TY64,B0FFFGNW0R,101013105747,G1936(广州南-重庆西),231.0,342.0,广州南,贵阳东,火车站,火车站
B00140TY64,B035301F2G,101013085356,G3708(广州南-成都东),232.0,360.0,广州南,贵阳,火车站,火车站
B00140UERW,B0FFFR0KU5,101007268989,G2922(深圳北-昆明南),238.0,326.0,广州南,贵阳北,火车站,火车站
B00140UERW,B0FFFGNW0R,101003992964,G3724(广州南-重庆西),203.0,351.0,佛山西,贵阳东,火车站,火车站
B00140UERW,B035301F2G,101013085356,G3708(广州南-成都东),232.0,360.0,广州南,贵阳,火车站,火车站
B00140WEW0,B0FFFR0KU5,101007268989,G2922(深圳北-昆明南),238.0,326.0,广州南,贵阳北,火车站,火车站
B00140WEW0,B0FFFGNW0R,101013105747,G1936(广州南-重庆西),231.0,342.0,广州南,贵阳东,火车站,火车站
B00140WEW0,B035301F2G,101013085356,G3708(广州南-成都东),232.0,360.0,广州南,贵阳,火车站,火车站
B0FFLHQPEP,B0FFG05MUM,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B0FFLHQPEP,B001781ZYX,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B0FFLHQPEP,B0FFI60WX5,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140VAP3,B0FFG05MUM,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140VAP3,B001781ZYX,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140VAP3,B0FFI60WX5,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140TY64,B0FFG05MUM,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140TY64,B001781ZYX,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140TY64,B0FFI60WX5,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140UERW,B0FFG05MUM,101003992964,G3724(广州南-重庆西),334.0,489.0,佛山西,重庆西,火车站,火车站
B00140UERW,B001781ZYX,101003992964,G3724(广州南-重庆西),334.0,489.0,佛山西,重庆西,火车站,火车站
B00140UERW,B0FFI60WX5,101003992964,G3724(广州南-重庆西),334.0,489.0,佛山西,重庆西,火车站,火车站
B00140WEW0,B0FFG05MUM,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140WEW0,B001781ZYX,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B00140WEW0,B0FFI60WX5,101013105747,G1936(广州南-重庆西),362.0,480.0,广州南,重庆西,火车站,火车站
B0FFLHQPEP,B0KD9R7XRY,101010466113,G3078(广州东-上海虹桥),493.0,823.0,广州东,上海虹桥,火车站,火车站
B0FFLHQPEP,B00155MPRL,101010466113,G3078(广州东-上海虹桥),493.0,823.0,广州东,上海虹桥,火车站,火车站
B0FFLHQPEP,B00155KSDE,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B0FFLHQPEP,B00155DNI5,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B00140VAP3,B0KD9R7XRY,101013100022,G822(广州南-上海虹桥),381.0,880.0,广州南,上海虹桥,火车站,火车站
B00140VAP3,B00155MPRL,101013100022,G822(广州南-上海虹桥),381.0,880.0,广州南,上海虹桥,火车站,火车站
B00140VAP3,B00155KSDE,101013100022,G822(广州南-上海虹桥),381.0,880.0,广州南,上海虹桥,火车站,火车站
B00140VAP3,B00155DNI5,101013100022,G822(广州南-上海虹桥),381.0,880.0,广州南,上海虹桥,火车站,火车站
B00140TY64,B0KD9R7XRY,101010466113,G3078(广州东-上海虹桥),493.0,823.0,广州东,上海虹桥,火车站,火车站
B00140TY64,B00155MPRL,101010466113,G3078(广州东-上海虹桥),493.0,823.0,广州东,上海虹桥,火车站,火车站
B00140TY64,B00155KSDE,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B00140TY64,B00155DNI5,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B00140UERW,B0KD9R7XRY,101010466113,G3078(广州东-上海虹桥),493.0,823.0,广州东,上海虹桥,火车站,火车站
B00140UERW,B00155MPRL,101010466113,G3078(广州东-上海虹桥),493.0,823.0,广州东,上海虹桥,火车站,火车站
B00140UERW,B00155KSDE,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B00140UERW,B00155DNI5,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B00140WEW0,B0KD9R7XRY,101013100022,G822(广州南-上海虹桥),381.0,880.0,广州南,上海虹桥,火车站,火车站
B00140WEW0,B00155MPRL,101013100022,G822(广州南-上海虹桥),381.0,880.0,广州南,上海虹桥,火车站,火车站
B00140WEW0,B00155KSDE,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B00140WEW0,B00155DNI5,101014286457,G1306(广州东-上海南),469.0,884.0,广州东,上海南,火车站,火车站
B0FFF6PXF2,B0FFLHQPEP,101013086901,Z170(青岛北-广州白云),1569.0,506.5,青岛北,广州白云,火车站,火车站
B0FFF6PXF2,B00140VAP3,101010224524,G565(青岛北-广州南),538.0,1071.5,青岛北,广州南,火车站,火车站
B0FFF6PXF2,B00140TY64,101013086901,Z170(青岛北-广州白云),1569.0,506.5,青岛北,广州白云,火车站,火车站
B0FFF6PXF2,B00140UERW,101010224524,G565(青岛北-广州南),538.0,1071.5,青岛北,广州南,火车站,火车站
B0FFF6PXF2,B00140WEW0,101013086901,Z170(青岛北-广州白云),1569.0,506.5,青岛北,广州白云,火车站,火车站
B0214082PH,B0FFLHQPEP,101013086901,Z170(青岛北-广州白云),1569.0,506.5,青岛北,广州白云,火车站,火车站
B0214082PH,B00140VAP3,101010224524,G565(青岛北-广州南),538.0,1071.5,青岛北,广州南,火车站,火车站
B0214082PH,B00140TY64,101013086901,Z170(青岛北-广州白云),1569.0,506.5,青岛北,广州白云,火车站,火车站
B0214082PH,B00140UERW,101010224524,G565(青岛北-广州南),538.0,1071.5,青岛北,广州南,火车站,火车站
B0214082PH,B00140WEW0,101013086901,Z170(青岛北-广州白云),1569.0,506.5,青岛北,广州白云,火车站,火车站
B0FFJANJXQ,B0FFLHQPEP,101013086253,G1553(青岛-广州南),681.0,969.0,青岛西,广州南,火车站,火车站
B0FFJANJXQ,B00140VAP3,101013086253,G1553(青岛-广州南),681.0,969.0,青岛西,广州南,火车站,火车站
B0FFJANJXQ,B00140TY64,101013086253,G1553(青岛-广州南),681.0,969.0,青岛西,广州南,火车站,火车站
B0FFJANJXQ,B00140UERW,101013086253,G1553(青岛-广州南),681.0,969.0,青岛西,广州南,火车站,火车站
B0FFJANJXQ,B00140WEW0,101013086253,G1553(青岛-广州南),681.0,969.0,青岛西,广州南,火车站,火车站
B0FFF6PXF2,B017B02U7H,101013086536,G1833(青岛北-重庆西),301.0,405.0,青岛北,洛阳龙门,火车站,火车站
B0FFF6PXF2,B017B011IO,101013086536,G1833(青岛北-重庆西),301.0,405.0,青岛北,洛阳龙门,火车站,火车站
B0214082PH,B017B02U7H,101013084457,G2062(青岛-西安北),320.0,468.5,青岛,洛阳龙门,火车站,火车站
B0214082PH,B017B011IO,101013084457,G2062(青岛-西安北),320.0,468.5,青岛,洛阳龙门,火车站,火车站
B0FFJANJXQ,B017B02U7H,101010224912,G1835(青岛-重庆西),291.0,387.0,青岛西,洛阳龙门,火车站,火车站
B0FFJANJXQ,B017B011IO,101010224912,G1835(青岛-重庆西),291.0,387.0,青岛西,洛阳龙门,火车站,火车站
B0FFF6PXF2,B0H6XMWL0S,101001614770,G202(青岛北-北京南),185.0,356.0,青岛北,北京南,火车站,火车站
B0FFF6PXF2,B000A83M61,101001614770,G202(青岛北-北京南),185.0,356.0,青岛北,北京南,火车站,火车站
B0FFF6PXF2,B000A9S5OF,101001614770,G202(青岛北-北京南),185.0,356.0,青岛北,北京南,火车站,火车站
B0FFF6PXF2,B000A83AJN,101001614770,G202(青岛北-北京南),185.0,356.0,青岛北,北京南,火车站,火车站
B0FFF6PXF2,B000A83C36,101001614770,G202(青岛北-北京南),185.0,356.0,青岛北,北京南,火车站,火车站
B0FFF6PXF2,B000A833V8,101001614770,G202(青岛北-北京南),185.0,356.0,青岛北,北京南,火车站,火车站
B0214082PH,B0H6XMWL0S,101002377288,G214(青岛-北京南),192.0,355.0,青岛,北京南,火车站,火车站
B0214082PH,B000A83M61,101002377288,G214(青岛-北京南),192.0,355.0,青岛,北京南,火车站,火车站
B0214082PH,B000A9S5OF,101002377288,G214(青岛-北京南),192.0,355.0,青岛,北京南,火车站,火车站
B0214082PH,B000A83AJN,101002377288,G214(青岛-北京南),192.0,355.0,青岛,北京南,火车站,火车站
B0214082PH,B000A83C36,101002377288,G214(青岛-北京南),192.0,355.0,青岛,北京南,火车站,火车站
B0214082PH,B000A833V8,101002377288,G214(青岛-北京南),192.0,355.0,青岛,北京南,火车站,火车站
B0FFJANJXQ,B0H6XMWL0S,101001611949,G1100(盐城-北京南),226.0,350.0,青岛西,北京南,火车站,火车站
B0FFJANJXQ,B000A83M61,101001611949,G1100(盐城-北京南),226.0,350.0,青岛西,北京南,火车站,火车站
B0FFJANJXQ,B000A9S5OF,101001611949,G1100(盐城-北京南),226.0,350.0,青岛西,北京南,火车站,火车站
B0FFJANJXQ,B000A83AJN,101001611949,G1100(盐城-北京南),226.0,350.0,青岛西,北京南,火车站,火车站
